56035000101.00,Sublette County,Wyoming,4321,5.2,87292,1
55137960200.00,Waushara County,Wisconsin,3841,6.5,61758,1
55135100800.00,Waupaca County,Wisconsin,4711,6.6,85682,1
55135101000.00,Waupaca County,Wisconsin,6242,5.9,70106,1
55117001000.00,Sheboygan County,Wisconsin,7415,5.8,66719,1
55117010501.00,Sheboygan County,Wisconsin,7914,6.1,77278,1
55117010601.00,Sheboygan County,Wisconsin,5594,6.6,69213,1
55117010800.00,Sheboygan County,Wisconsin,3507,2,95439,1
55113100500.00,Sawyer County,Wisconsin,3394,6.8,72596,1
55101000903.00,Racine County,Wisconsin,4093,6.6,83068,1
55101001501.00,Racine County,Wisconsin,3779,5.5,79167,1
55101001504.00,Racine County,Wisconsin,2781,6.5,91172,1
55101001602.00,Racine County,Wisconsin,2949,0.2,108875,1
55101001703.00,Racine County,Wisconsin,4371,3.5,98333,1
55101001705.00,Racine County,Wisconsin,5337,5.8,99417,1
55101002001.00,Racine County,Wisconsin,2987,6.2,98065,1
55101002701.00,Racine County,Wisconsin,4048,5.4,98952,1
55101002702.00,Racine County,Wisconsin,5839,5.4,91037,1
55079000301.00,Milwaukee County,Wisconsin,1483,3.2,83875,1
55079012500.00,Milwaukee County,Wisconsin,2014,6.8,80294,1
55079030100.00,Milwaukee County,Wisconsin,4300,5.1,127667,1
55079035100.00,Milwaukee County,Wisconsin,2257,2.2,169167,1
55079035200.00,Milwaukee County,Wisconsin,4435,4.5,143095,1
55079040100.00,Milwaukee County,Wisconsin,1597,2.2,210385,1
55079060102.00,Milwaukee County,Wisconsin,3138,3.9,111471,1
55079090100.00,Milwaukee County,Wisconsin,4558,6.6,81642,1
55079100800.00,Milwaukee County,Wisconsin,2975,4.4,75139,1
55079150301.00,Milwaukee County,Wisconsin,5906,2.9,104277,1
55079150303.00,Milwaukee County,Wisconsin,4856,4.2,118942,1
55079150304.00,Milwaukee County,Wisconsin,4041,6.6,82634,1
55079160202.00,Milwaukee County,Wisconsin,7310,5.9,81395,1
55079160203.00,Milwaukee County,Wisconsin,6069,6.4,80972,1
55079160300.00,Milwaukee County,Wisconsin,9582,2.3,113347,1
55079187200.00,Milwaukee County,Wisconsin,5384,3.3,109375,1
55079187300.00,Milwaukee County,Wisconsin,6293,4.5,110650,1
55063010202.00,La Crosse County,Wisconsin,6688,2.2,93170,1
55063010401.00,La Crosse County,Wisconsin,5214,2.7,105640,1
55063010402.00,La Crosse County,Wisconsin,9163,6.4,76949,1
55059002500.00,Kenosha County,Wisconsin,3478,4.9,104167,1
55059002601.00,Kenosha County,Wisconsin,8493,5.4,107344,1
55059002602.00,Kenosha County,Wisconsin,8602,5.7,98306,1
55059002903.00,Kenosha County,Wisconsin,3210,3.1,86250,1
55025000201.00,Dane County,Wisconsin,2149,5.4,102206,1
55025000205.00,Dane County,Wisconsin,5131,1.5,119830,1
55025000401.00,Dane County,Wisconsin,3148,3.5,108472,1
55025000406.00,Dane County,Wisconsin,2968,4,100278,1
55025000504.00,Dane County,Wisconsin,6738,2.8,103425,1
55025002302.00,Dane County,Wisconsin,1810,5.8,102500,1
55025002800.00,Dane County,Wisconsin,2233,4.7,78152,1
55025003100.00,Dane County,Wisconsin,6422,5.9,88345,1
55025010200.00,Dane County,Wisconsin,1268,0.7,188750,1
55025010300.00,Dane County,Wisconsin,3404,4.5,105455,1
55025010400.00,Dane County,Wisconsin,3299,6.7,108589,1
55025010501.00,Dane County,Wisconsin,2817,5.3,99511,1
55025010502.00,Dane County,Wisconsin,7766,2.5,103678,1
55025010701.00,Dane County,Wisconsin,5952,4.3,127768,1
55025010702.00,Dane County,Wisconsin,6290,2.8,113529,1
55025010800.00,Dane County,Wisconsin,10625,1.8,125035,1
55025010901.00,Dane County,Wisconsin,5652,3.9,125682,1
55025010903.00,Dane County,Wisconsin,2541,2,143551,1
55025011102.00,Dane County,Wisconsin,8031,4.5,103665,1
55025011200.00,Dane County,Wisconsin,8440,3.2,133790,1
55025011301.00,Dane County,Wisconsin,6317,4.2,133750,1
55025011401.00,Dane County,Wisconsin,6647,5,105278,1
55025011402.00,Dane County,Wisconsin,9048,1.3,96270,1
55025012001.00,Dane County,Wisconsin,8321,6.1,100284,1
55025012202.00,Dane County,Wisconsin,6774,5.2,85915,1
55025012300.00,Dane County,Wisconsin,5304,6.1,82744,1
55025012400.00,Dane County,Wisconsin,4805,3.2,113750,1
55025012501.00,Dane County,Wisconsin,6551,4.9,95388,1
55025012800.00,Dane County,Wisconsin,7688,5.5,93264,1
55025013000.00,Dane County,Wisconsin,4220,2.4,98553,1
55025013302.00,Dane County,Wisconsin,5620,6.7,99153,1
55025013700.00,Dane County,Wisconsin,4644,4.8,115938,1
55015020303.00,Calumet County,Wisconsin,3878,5.9,61627,1
55015020308.00,Calumet County,Wisconsin,2997,4.7,116583,1
55015020700.00,Calumet County,Wisconsin,4136,0.9,118995,1
55015020800.00,Calumet County,Wisconsin,5558,6.2,108240,1
54011002000.00,Cabell County,West Virginia,3194,6,86719,1
55035000501.00,Eau Claire County,Wisconsin,4864,2.4,75990,1
55035000801.00,Eau Claire County,Wisconsin,3544,1.6,83993,1
55035000802.00,Eau Claire County,Wisconsin,3801,6.9,79886,1
55035001500.00,Eau Claire County,Wisconsin,3288,6.9,79904,1
53073000804.00,Whatcom County,Washington,6642,6.2,104315,1
53073000805.00,Whatcom County,Washington,4966,6.1,75685,1
53073010303.00,Whatcom County,Washington,5103,6.2,77428,1
53061040100.00,Snohomish County,Washington,5382,5.4,96181,1
53061041301.00,Snohomish County,Washington,5117,1.2,132991,1
53061041304.00,Snohomish County,Washington,2870,5,144167,1
53061041601.00,Snohomish County,Washington,5498,5.3,104935,1
53061041607.00,Snohomish County,Washington,3657,0.9,129022,1
53061041608.00,Snohomish County,Washington,6264,1.1,126097,1
53061041901.00,Snohomish County,Washington,4073,6.8,70284,1
53061042001.00,Snohomish County,Washington,5921,2.2,123750,1
53061042003.00,Snohomish County,Washington,3336,1.5,140000,1
53061042005.00,Snohomish County,Washington,5177,4.2,162361,1
53061050101.00,Snohomish County,Washington,2686,5.3,125644,1
53061050200.00,Snohomish County,Washington,4154,3.1,126111,1
53061050300.00,Snohomish County,Washington,5327,2.9,120547,1
53061050401.00,Snohomish County,Washington,7052,4.3,115473,1
53061050402.00,Snohomish County,Washington,5352,5.7,122167,1
53061050500.00,Snohomish County,Washington,6594,6.4,111581,1
53061050600.00,Snohomish County,Washington,1271,3.3,208750,1
53061051913.00,Snohomish County,Washington,4202,6.4,129167,1
53061051914.00,Snohomish County,Washington,4052,4.2,127063,1
53061051915.00,Snohomish County,Washington,6863,5,113694,1
53061051916.00,Snohomish County,Washington,3677,5.4,125368,1
53061051917.00,Snohomish County,Washington,4045,1.5,126389,1
53061051921.00,Snohomish County,Washington,3882,6.2,110428,1
53061051922.00,Snohomish County,Washington,4687,5.5,132303,1
53061051923.00,Snohomish County,Washington,4745,4.5,110000,1
53061051924.00,Snohomish County,Washington,5974,3.8,98088,1
53061051925.00,Snohomish County,Washington,6295,6.1,145839,1
53061051927.00,Snohomish County,Washington,4714,3.3,115082,1
53061052003.00,Snohomish County,Washington,7273,4.3,135099,1
53061052005.00,Snohomish County,Washington,5491,3.2,138432,1
53061052006.00,Snohomish County,Washington,4248,4,126739,1
53061052007.00,Snohomish County,Washington,4663,3.1,129437,1
53061052108.00,Snohomish County,Washington,5814,1.9,148750,1
53061052112.00,Snohomish County,Washington,2607,6,124135,1
53061052113.00,Snohomish County,Washington,3006,5.1,119732,1
53061052114.00,Snohomish County,Washington,4988,0.1,138289,1
53061052118.00,Snohomish County,Washington,6843,2.5,124981,1
53061052203.00,Snohomish County,Washington,5213,5.1,122045,1
53061052204.00,Snohomish County,Washington,5345,1.5,108958,1
53061052502.00,Snohomish County,Washington,4334,2.7,112383,1
53061052503.00,Snohomish County,Washington,6788,6.6,99712,1
53061052603.00,Snohomish County,Washington,2434,6.3,92216,1
53061052606.00,Snohomish County,Washington,5125,5.9,96473,1
53061052607.00,Snohomish County,Washington,5851,2.5,106494,1
53061052706.00,Snohomish County,Washington,5311,6.6,92583,1
53061052707.00,Snohomish County,Washington,3554,1,125000,1
53061052708.00,Snohomish County,Washington,5344,1.1,105339,1
53061052803.00,Snohomish County,Washington,5103,5.7,81976,1
53061052804.00,Snohomish County,Washington,6971,6.9,91406,1
53061052906.00,Snohomish County,Washington,4445,6.5,82465,1
53061053504.00,Snohomish County,Washington,6383,5,90729,1
53061053802.00,Snohomish County,Washington,5394,6.6,84388,1
53057940200.00,Skagit County,Washington,2181,5.5,86354,1
53057940400.00,Skagit County,Washington,6839,6.8,90893,1
53057951900.00,Skagit County,Washington,3519,5.5,90938,1
53035090502.00,Kitsap County,Washington,4559,5.7,100450,1
53035090700.00,Kitsap County,Washington,5183,4.1,143963,1
53035090800.00,Kitsap County,Washington,4169,4,135885,1
53035091000.00,Kitsap County,Washington,6641,3.1,142604,1
53035091100.00,Kitsap County,Washington,4866,4,94107,1
53035091203.00,Kitsap County,Washington,7182,2.9,78846,1
53035091302.00,Kitsap County,Washington,5609,6.3,126069,1
53035091400.00,Kitsap County,Washington,3093,6.1,103535,1
53035091500.00,Kitsap County,Washington,3968,5,95345,1
53035091600.00,Kitsap County,Washington,6356,6.2,78071,1
53035091800.00,Kitsap County,Washington,2944,2.6,91550,1
53035092701.00,Kitsap County,Washington,4639,3.7,100564,1
53035092801.00,Kitsap County,Washington,4311,5.7,92623,1
53007960700.00,Chelan County,Washington,3455,3.4,104107,1
53007961301.00,Chelan County,Washington,1327,3.9,97500,1
53003960200.00,Asotin County,Washington,4542,6.9,68558,1
51840000202.00,Winchester city,Virginia,5736,5.5,120294,1
51770002900.00,Roanoke city,Virginia,5130,6.1,125625,1
51770003100.00,Roanoke city,Virginia,3837,4,68125,1
51730811100.00,Petersburg city,Virginia,2883,6.5,58214,1
51683910100.00,Manassas city,Virginia,4213,1.9,103476,1
51683910402.00,Manassas city,Virginia,5013,3.2,135625,1
51680000201.00,Lynchburg city,Virginia,6181,2.8,101535,1
51550020001.00,Chesapeake city,Virginia,1530,1.8,89375,1
51550020806.00,Chesapeake city,Virginia,6839,4.2,93735,1
51550021006.00,Chesapeake city,Virginia,7933,6.2,101866,1
51550021009.00,Chesapeake city,Virginia,4262,3.3,129625,1
51550021011.00,Chesapeake city,Virginia,3483,3.3,127770,1
51550021012.00,Chesapeake city,Virginia,6109,5.9,102932,1
51550021013.00,Chesapeake city,Virginia,4670,2.3,133250,1
51550021101.00,Chesapeake city,Virginia,5079,5.2,117391,1
51550021301.00,Chesapeake city,Virginia,5396,6.7,100349,1
51550021302.00,Chesapeake city,Virginia,9658,2.2,111518,1
51177020107.00,Spotsylvania County,Virginia,1806,2.8,117500,1
51177020111.00,Spotsylvania County,Virginia,2380,3.1,95417,1
51177020112.00,Spotsylvania County,Virginia,2774,6.9,111250,1
51177020113.00,Spotsylvania County,Virginia,4341,4,104125,1
51177020203.00,Spotsylvania County,Virginia,4844,4.1,120250,1
51177020304.00,Spotsylvania County,Virginia,4180,6.3,85229,1
51177020306.00,Spotsylvania County,Virginia,5247,5.8,104107,1
51177020307.00,Spotsylvania County,Virginia,3580,6,95565,1
51177020308.00,Spotsylvania County,Virginia,3756,3.3,109301,1
51177020309.00,Spotsylvania County,Virginia,5649,6.3,96089,1
51161030201.00,Roanoke County,Virginia,4533,4.6,77325,1
51161030203.00,Roanoke County,Virginia,3975,0.7,92500,1
51161030205.00,Roanoke County,Virginia,3875,5,86083,1
51161030701.00,Roanoke County,Virginia,6715,4.5,103720,1
51161030802.00,Roanoke County,Virginia,4713,2.7,91820,1
51161031201.00,Roanoke County,Virginia,4971,4.6,79625,1
51161031202.00,Roanoke County,Virginia,6152,6.5,97670,1
51153900701.00,Prince William County,Virginia,4976,2.2,67340,1
51153900801.00,Prince William County,Virginia,5385,5.7,148750,1
51153901005.00,Prince William County,Virginia,4363,1.3,170755,1
51153901009.00,Prince William County,Virginia,6829,1.6,157336,1
51153901011.00,Prince William County,Virginia,5456,4.7,153333,1
51153901219.00,Prince William County,Virginia,5519,3.8,160208,1
51153901222.00,Prince William County,Virginia,2604,5.2,98643,1
51153901229.00,Prince William County,Virginia,3888,4,118158,1
51153901231.00,Prince William County,Virginia,5593,3.6,170156,1
51153901232.00,Prince William County,Virginia,4417,1.2,137368,1
51153901233.00,Prince William County,Virginia,7077,1.4,149583,1
51153901234.00,Prince William County,Virginia,2774,1.5,165804,1
51153901235.00,Prince William County,Virginia,3052,0.4,176167,1
51153901236.00,Prince William County,Virginia,4102,5.6,127888,1
51153901303.00,Prince William County,Virginia,4585,2,159028,1
51153901304.00,Prince William County,Virginia,2451,4.1,114821,1
51153901306.00,Prince William County,Virginia,5211,1,140568,1
51153901409.00,Prince William County,Virginia,6135,3.2,124831,1
51153901410.00,Prince William County,Virginia,7472,1.9,163000,1
51153901411.00,Prince William County,Virginia,5491,1.5,197813,1
51153901412.00,Prince William County,Virginia,5768,1,137961,1
51153901413.00,Prince William County,Virginia,4100,1.5,129816,1
51153901503.00,Prince William County,Virginia,5781,3.5,178594,1
51153901504.00,Prince William County,Virginia,3460,2.6,105491,1
51153901505.00,Prince William County,Virginia,6860,1.2,177560,1
51153901508.00,Prince William County,Virginia,4218,2.4,142760,1
51153901510.00,Prince William County,Virginia,4908,1.1,149306,1
51147930203.00,Prince Edward County,Virginia,2399,0,,1
51107610400.00,Loudoun County,Virginia,4447,2.3,157857,1
51107610503.00,Loudoun County,Virginia,7104,3.4,170238,1
51107610504.00,Loudoun County,Virginia,6850,0.8,121875,1
51107610507.00,Loudoun County,Virginia,6305,3.7,177292,1
51107610601.00,Loudoun County,Virginia,6930,5.1,158320,1
51107610604.00,Loudoun County,Virginia,6547,5.9,144938,1
51107610701.00,Loudoun County,Virginia,4662,0.9,153527,1
51107611009.00,Loudoun County,Virginia,5410,2.3,216818,1
51107611010.00,Loudoun County,Virginia,1617,4,116667,1
51107611012.00,Loudoun County,Virginia,4313,3,215395,1
51107611022.00,Loudoun County,Virginia,5872,3.1,194219,1
51107611023.00,Loudoun County,Virginia,5746,3,196285,1
51107611101.00,Loudoun County,Virginia,4329,2.8,107344,1
51107611102.00,Loudoun County,Virginia,6053,2.4,167808,1
51107611202.00,Loudoun County,Virginia,4744,6.5,157340,1
51107611206.00,Loudoun County,Virginia,4226,1.5,149538,1
51107611208.00,Loudoun County,Virginia,4253,0.7,196806,1
51107611209.00,Loudoun County,Virginia,6503,3.7,157632,1
51107611801.00,Loudoun County,Virginia,5571,1.9,141111,1
51107611802.00,Loudoun County,Virginia,8426,3.3,149904,1
51107611803.00,Loudoun County,Virginia,5775,3,158906,1
51107611805.00,Loudoun County,Virginia,5110,3,171382,1
51107611806.00,Loudoun County,Virginia,5935,1.4,184500,1
51107611900.00,Loudoun County,Virginia,6862,2.4,193550,1
51107980100.00,Loudoun County,Virginia,2,0,,1
51101950300.00,King William County,Virginia,3415,4.8,75000,1
51093280104.00,Isle of Wight County,Virginia,4454,3.8,109554,1
51087200107.00,Henrico County,Virginia,7854,6.5,108500,1
51087200109.00,Henrico County,Virginia,3636,1,168333,1
51087200116.00,Henrico County,Virginia,5689,2.1,111375,1
51087200119.00,Henrico County,Virginia,9108,4.3,123281,1
51087200127.00,Henrico County,Virginia,5419,6.6,115369,1
51087200129.00,Henrico County,Virginia,11764,2.9,164657,1
51087200130.00,Henrico County,Virginia,7140,1.1,179215,1
51087200201.00,Henrico County,Virginia,2645,4.1,111513,1
51087200202.00,Henrico County,Virginia,3914,1.4,134183,1
51087200406.00,Henrico County,Virginia,8986,2.2,115789,1
51087200502.00,Henrico County,Virginia,2061,5,83512,1
51087200503.00,Henrico County,Virginia,3769,6,79678,1
51087200600.00,Henrico County,Virginia,4839,6,71010,1
51087200801.00,Henrico County,Virginia,3167,6.3,71274,1
51087200904.00,Henrico County,Virginia,6057,4,97831,1
51087200905.00,Henrico County,Virginia,5046,6.8,74028,1
51065020102.00,Fluvanna County,Virginia,9341,2.8,92870,1
51061930302.00,Fauquier County,Virginia,7449,5.1,113889,1
51061930303.00,Fauquier County,Virginia,3613,4.7,127567,1
51061930402.00,Fauquier County,Virginia,5714,3.3,135719,1
51059415700.00,Fairfax County,Virginia,3821,0.5,208750,1
51059415800.00,Fairfax County,Virginia,4752,1.8,188906,1
51059415900.00,Fairfax County,Virginia,3160,5.4,180972,1
51059416100.00,Fairfax County,Virginia,3734,4.9,203167,1
51059416200.00,Fairfax County,Virginia,5280,4.9,78906,1
51059420201.00,Fairfax County,Virginia,3672,4.1,140962,1
51059421101.00,Fairfax County,Virginia,5683,2,142632,1
51059421103.00,Fairfax County,Virginia,5261,2.4,162788,1
51059421200.00,Fairfax County,Virginia,1926,0.8,140909,1
51059421300.00,Fairfax County,Virginia,3690,1.6,154115,1
51059422000.00,Fairfax County,Virginia,3439,4.8,128882,1
51059422201.00,Fairfax County,Virginia,3394,0,180147,1
51059422403.00,Fairfax County,Virginia,2695,2.5,174010,1
51059430500.00,Fairfax County,Virginia,1690,0.7,151111,1
51059430802.00,Fairfax County,Virginia,4197,4.3,113047,1
51059431300.00,Fairfax County,Virginia,4234,2.5,155461,1
51059431400.00,Fairfax County,Virginia,4283,3,140444,1
51059431500.00,Fairfax County,Virginia,5325,3.1,165208,1
51059432500.00,Fairfax County,Virginia,5417,1.3,163125,1
51059432600.00,Fairfax County,Virginia,4783,0.2,180547,1
51059432701.00,Fairfax County,Virginia,3210,0.4,163315,1
51059432702.00,Fairfax County,Virginia,4325,4.5,106088,1
51059440100.00,Fairfax County,Virginia,7135,3.2,183875,1
51059440300.00,Fairfax County,Virginia,2665,2.8,186683,1
51059440702.00,Fairfax County,Virginia,5151,1.5,149635,1
51059440800.00,Fairfax County,Virginia,5874,6.8,173679,1
51059450400.00,Fairfax County,Virginia,2631,4.7,183875,1
51059450701.00,Fairfax County,Virginia,2779,4.6,150000,1
51059450800.00,Fairfax County,Virginia,3321,4.4,99205,1
51059450900.00,Fairfax County,Virginia,1688,2,180714,1
51059452501.00,Fairfax County,Virginia,3873,0.7,130982,1
51059460100.00,Fairfax County,Virginia,4286,0.7,243077,1
51059460200.00,Fairfax County,Virginia,3973,1.1,239750,1
51059460300.00,Fairfax County,Virginia,2830,1.3,228125,1
51059460501.00,Fairfax County,Virginia,2599,3.4,230132,1
51059460502.00,Fairfax County,Virginia,6708,6.7,178664,1
51059461100.00,Fairfax County,Virginia,7336,6.3,196949,1
51059461201.00,Fairfax County,Virginia,4424,2.6,217000,1
51059461802.00,Fairfax County,Virginia,5167,5.9,130171,1
51059470100.00,Fairfax County,Virginia,2732,0.6,250001,1
51059470300.00,Fairfax County,Virginia,3253,1.9,237841,1
51059470400.00,Fairfax County,Virginia,4843,2.4,245903,1
51059470500.00,Fairfax County,Virginia,5403,3.7,250001,1
51059470800.00,Fairfax County,Virginia,2988,3.8,200000,1
51059470900.00,Fairfax County,Virginia,7263,1.7,234375,1
51059480100.00,Fairfax County,Virginia,4239,3.2,237857,1
51059480201.00,Fairfax County,Virginia,4592,3.1,250001,1
51059480300.00,Fairfax County,Virginia,7105,4,250001,1
51059480401.00,Fairfax County,Virginia,4526,2.6,224559,1
51059480402.00,Fairfax County,Virginia,5936,2.7,239375,1
51059480501.00,Fairfax County,Virginia,3604,2.3,235982,1
51059480502.00,Fairfax County,Virginia,5784,0.7,176944,1
51059480503.00,Fairfax County,Virginia,3401,1,165977,1
51059481400.00,Fairfax County,Virginia,6298,4.5,144821,1
51059481500.00,Fairfax County,Virginia,2289,2.9,198068,1
51059481600.00,Fairfax County,Virginia,3392,4.9,250001,1
51059481701.00,Fairfax County,Virginia,6078,1.4,208649,1
51059481702.00,Fairfax County,Virginia,4136,5,133375,1
51059482001.00,Fairfax County,Virginia,4801,2.3,188984,1
51059482400.00,Fairfax County,Virginia,2378,3.1,226761,1
51059482504.00,Fairfax County,Virginia,5416,2.7,210800,1
51059482602.00,Fairfax County,Virginia,6971,2.3,185137,1
51059490502.00,Fairfax County,Virginia,6312,1.2,203921,1
51059491101.00,Fairfax County,Virginia,3847,3.3,187794,1
51059491102.00,Fairfax County,Virginia,3507,2,156146,1
51059491403.00,Fairfax County,Virginia,3689,2.8,203438,1
51059491404.00,Fairfax County,Virginia,3960,1.9,149643,1
51059491405.00,Fairfax County,Virginia,2790,1.7,217917,1
51059491502.00,Fairfax County,Virginia,7079,1.5,192050,1
51059492000.00,Fairfax County,Virginia,6449,1.8,248672,1
51059492100.00,Fairfax County,Virginia,6313,2.6,214717,1
51059492202.00,Fairfax County,Virginia,6844,0.8,196042,1
51059492203.00,Fairfax County,Virginia,4065,1,217292,1
51059492300.00,Fairfax County,Virginia,3330,3.2,140250,1
51059492400.00,Fairfax County,Virginia,4603,4.8,125682,1
51059980300.00,Fairfax County,Virginia,4,0,,1
51047930201.00,Culpeper County,Virginia,7174,3,93936,1
51023040501.00,Botetourt County,Virginia,6330,6.4,90514,1
51015070600.00,Augusta County,Virginia,9218,6.4,82877,1
51015070700.00,Augusta County,Virginia,6689,6.2,79143,1
51015071102.00,Augusta County,Virginia,5735,3.1,80647,1
